Tên,N,E,h
Base_0,1187171.6100,597235.0107,-3.2812
Base_1,1186396.8728,595929.6954,1.6617
lay nguon,1186362.7254,595933.2674,1.3495
trong tru,1186397.9751,595926.5714,1.9379
htlt3,1186424.4300,595931.7134,1.8073
htlt4,1186423.7599,595951.5805,1.3577
htlt5,1186424.1265,595973.3133,1.2960
htlt6,1186424.6018,596002.4705,1.5162
htlt7,1186423.9539,596024.0878,1.1860
htlt8,1186422.1295,596059.5963,1.5598
htlt9,1186424.1293,596093.5489,12.0613
htlt10,1186397.7506,596003.1997,1.5000
htlt11,1186450.2217,596002.4365,2.0505
htlt12,1186485.1206,596005.0092,1.5980
htltdn13,1186420.0757,595919.7520,1.4979
htltl14,1186442.4124,595899.6641,1.3052
htltl15,1186465.9759,595905.7614,1.2927
ttltldn16,1186494.6426,595913.1186,1.2544
ttltl17,1186521.4347,595920.9796,1.2387
htltldd18,1186550.8921,595932.0909,1.2281
ttltl19,1186545.9248,595943.5898,1.2579
ttltl20,1186540.1372,595954.6218,1.2440
htltl21,1186537.8519,595960.6101,1.1167
ttltl22,1186532.4537,595983.8895,1.1994
trong tru 23,1186498.8600,595974.4186,1.3303
ttltl 24,1186561.3210,595984.7807,1.4525
ttltl 25,1186586.9252,595986.0262,1.1576
ttltl 26,1186587.4337,596005.4332,1.1007
ttltl 27,1186591.9167,596023.0469,1.0023
htltl 28,1186573.7611,596021.5354,1.2530
htltl 29,1186549.6146,596021.2508,1.3752
htltl 30,1186524.9873,596022.0498,0.9991
lay nguon tru 31 phu dinh 2 31,1186625.6199,596009.5478,1.1714
test,1186684.2366,596167.0904,-108.8005
htltl32,1186515.4531,595945.2252,2.3002
htltl33,1186498.6449,595942.7027,2.0063
htltl34,1186475.4670,595935.1802,6.2970
htltl35,1186444.7146,595928.1633,-1.9578
ttltldn36,1186554.9573,595926.6656,3.7360
ttltl37,1186559.3725,595911.2084,1.6315
htltl38,1186564.8869,595911.0575,1.2380
htltl39,1186583.9415,595918.3234,1.1553
htltl40,1186614.5693,595915.4809,1.3301
htltl41,1186630.7864,595917.4982,1.2045
htltl42,1186501.4591,595894.0885,1.2421
ttltl43,1186503.2887,595884.0683,5.4894
htltl44,1186473.3891,595875.9574,1.0697
htltl45,1186453.5761,595868.8939,4.1873
htltl ( co TBA )46,1186507.5436,595857.9877,2.3853
ttltl 47,1186509.0212,595837.6357,3.2432
htltl 48,1186515.2550,595837.8351,10.1514
htltl 49,1186516.2684,595814.9111,0.4850
ttltl 50,1186539.8152,595835.9692,1.4298
ttltl 51,1186556.4678,595835.9309,1.3733
htltl 52,1186557.6467,595816.2248,1.1911
htltl 53,1186559.3289,595796.1821,0.7368
htltl 54,1186564.4160,595771.2041,3.3578
htltl 55,1186486.9381,595835.5607,2.3583
htltl 56,1186479.8541,595852.8766,2.4546
htltl 57,1186455.9894,595846.1060,4.8159
htltl 58,1186459.8213,595814.6622,1.1094
htltl 59,1186431.4832,595842.8441,1.2395
htltl 60,1186430.3200,595804.9276,1.1247
htltl 61,1186436.0795,595776.8794,1.1697
htltl 62,1186398.7858,595838.6291,1.3263
htltl 63,1186399.8707,595809.8363,1.2614
htltl 64,1186402.2345,595781.3015,1.0986
htltl 65,1186405.0871,595756.4797,1.2607
htltl ( tru lay nguon)66,1186373.2983,595831.4975,1.4096
Base_2,1185368.1873,595421.4152,10.7744
Base_3,1185370.4070,595423.9611,0.2744
Base_4,1188711.9819,600873.8874,19.4964
ts3 Hung phu 5( lay nguon)71,1188649.8873,600869.2112,2.4317
htltl 72,1188668.8459,600862.5904,2.5274
htltl73,1188681.1934,600863.0360,2.5244
htltl ( tc)74,1188691.8100,600858.9154,2.6357
trong tru 1,1188703.9753,600857.9056,2.3309
trong tru 1 A,1188708.5536,600870.2678,3.8207
tru tc,1188717.3086,600871.8817,4.7038
htltl75,1188739.1693,600870.7129,2.4733
htltl76,1188762.1877,600870.1477,3.1381
Base_5,1188130.5783,601141.8057,11.3846
lnso nha 31tdkchienthang277,1188162.7368,601167.7571,2.4364
ttc78,1188138.5069,601151.9269,2.1861
htltl79,1188113.3379,601133.2918,2.2543
htltl80,1188093.0548,601119.0112,2.1961
htltl81,1188079.9650,601098.3219,2.1835
tc82,1188088.9269,601093.6393,2.0714
htltl83,1188096.5045,601085.7983,2.1877
htltl84,1188118.2260,601073.6989,2.2201
tc85,1188140.2795,601060.0679,3.1400
htltl86,1188151.3209,601036.9901,1.7209
lnts 9 TQB4 87,1188044.5761,601574.6808,2.0371
ttltldn 88,1188029.1009,601568.5586,2.3848
ttltl89,1187982.1250,601558.5463,2.4859
ttltl90,1187944.6371,601549.9267,2.6694
Base_6,1187944.5001,601549.8272,2.6701
ttltl91,1187904.9238,601539.5352,2.7348
tong tru92,1187889.7659,601535.3764,2.7247
tong tru93,1187871.9518,601566.5723,2.5359
tong tru94,1187853.6148,601580.4645,2.7533
htltl95,1187823.8948,601602.9262,2.2286
htltl96,1187803.5710,601616.1333,2.1529
htltl97,1187782.5860,601612.4193,2.1321
ttltl98,1187759.2402,601608.9287,2.0084
htltl99,1187734.3435,601605.1987,2.0551
ttltl100,1187707.9758,601601.1153,1.8548
ttltl101,1187689.5461,601595.2827,1.9598
ttltl102,1187664.1456,601573.0634,34.4388
ttltl103,1187622.1216,601586.7297,2.7833
htltl104,1187615.8750,601612.3369,1.6789
htltl105,1187609.7845,601644.5273,1.8918
htltl106,1187606.6355,601659.4228,2.0221
htltl107,1187595.7379,601680.0467,2.0555
ttltl108,1187598.7679,601580.9330,1.8548
htltl109,1187570.0572,601578.0801,1.5797
ttltl110,1187547.6565,601574.3090,2.0754
htltl111,1187524.5502,601569.6008,2.3226
htltl112,1187499.8432,601566.9226,2.1680
htltl113,1187468.2626,601561.1637,2.0711
ttltl114,1187446.5114,601555.0183,2.3215
Base_7,1182865.7031,593906.0281,2.2122
Base_8,1182916.3979,594300.8196,2.4987
Base_9,1184127.6681,596985.3879,1.7986
Base_10,1184127.6681,596985.3879,1.7986
Base_11,1182865.7031,593906.0281,2.2122
htltl115,1183610.2416,594606.5785,2.9728
htltl116,1183592.1549,594632.5018,2.9238
htltl117,1183574.9956,594659.2606,2.8982
htltl118,1183548.8107,594699.4532,2.9372
htltl119,1183534.2301,594718.9846,2.5449
htltl120,1183508.0395,594731.3187,2.2569
htltl121,1183471.2773,594748.0122,2.2392
htltl122,1183442.5372,594761.2932,2.2705
htltl123,1183416.9464,594772.6907,2.2743
htltl124,1183404.8602,594778.1361,2.1975
htltl125,1183366.4705,594794.8048,2.9905
htltl126,1183351.5467,594776.0875,2.3069
htltl127,1183332.9566,594750.7777,2.9267
htltl128,1183318.5386,594730.3664,2.2370
htltl129,1183309.6981,594708.2292,2.9049
htltl130,1183304.2542,594693.0624,2.9813
htltl131,1183299.6555,594662.7905,2.2731
htltl132,1183296.7751,594649.4151,2.8988
htltl133,1183290.7153,594620.8809,2.2965
ttltl134,1183286.1403,594586.3054,2.4312
ttltl135,1183280.1179,594551.7684,2.9463
ttltl136,1183275.7688,594528.5576,2.1956
htltl , dở137,1183272.3546,594505.3510,2.9110
ttltl138,1183269.1258,594484.3485,2.9286
ttltl139,1183261.7311,594438.9532,2.9185
htltl140,1183256.6409,594410.1750,2.9227
ttltl141,1183252.9907,594385.9607,2.9254
htlt142,1183247.4593,594355.8416,2.9037
ttltl143,1183243.8869,594338.2817,2.8479
htltl144,1183239.8387,594318.0351,2.8901
ttltddl145,1183236.8981,594294.4287,2.6543
lấy nguon146,1183227.3877,594251.9364,1.9267
lấy nguon147,1183221.5190,594253.1976,1.9059
Base_12,1183627.0152,592947.7717,2.2516
htltl149,1183633.6776,592952.9337,2.6013
qhtltl150,1183608.0793,592960.5960,2.4592
qhtltl151,1183575.9330,592972.0043,2.8778
qhtltl152,1183549.1328,592980.5381,2.5863
qhtltl153,1183518.4990,592990.4043,2.4091
htltl154,1183492.2652,592996.8686,2.5155
htltl155,1183460.8171,593002.9489,2.1968
htltl156,1183436.0671,593006.3674,2.0669
ttltl157,1183404.7528,593009.6852,2.2506
htltl158,1183377.4054,593011.2092,2.2512
ttc159,1183344.4605,593010.8825,1.6623
LN160,1183327.4922,592998.4126,1.9088
